City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tuktoyaktuk,69.4541,-133.0374,245.75,99,100,1.45,CA,1674367139
1,husavik,66.0449,-17.3389,272.85,76,91,6.22,IS,1674367139
2,biak,-0.9131,122.8766,301.39,66,100,0.7,ID,1674367139
3,puerto ayora,-0.7393,-90.3518,296.79,97,39,1.82,EC,1674367139
4,mandalgovi,45.7625,106.2708,251.91,74,100,9.4,MN,1674367139
5,sorong,-0.8833,131.25,301.18,71,97,2.9,ID,1674367140
6,belyy yar,53.6039,91.3903,242.09,83,20,0.0,RU,1674367140
7,sao filipe,14.8961,-24.4956,294.43,64,16,5.16,CV,1674367140
8,abu dhabi,24.4667,54.3667,292.57,61,0,0.0,AE,1674367128
9,nouadhibou,20.931,-17.0347,290.63,51,45,7.92,MR,1674367141
10,shenzhen,22.5455,114.0683,295.84,99,99,0.84,CN,1674367019
11,madera,37.1666,-119.8343,280.97,94,22,1.25,US,1674367141
12,mar del plata,-38.0023,-57.5575,293.68,81,0,4.12,AR,1674367141
13,hermanus,-34.4187,19.2345,291.93,80,93,2.43,ZA,1674367142
14,jamestown,42.097,-79.2353,272.6,54,94,2.24,US,1674367142
15,ushuaia,-54.8,-68.3,278.96,75,20,3.6,AR,1674367142
16,atuona,-9.8,-139.0333,299.29,79,23,8.35,PF,1674367142
17,mouila,-1.8685,11.0559,295.98,98,100,0.14,GA,1674367142
18,pisco,-13.7,-76.2167,295.18,83,100,0.0,PE,1674367143
19,wairoa,-39.0333,177.3667,295.11,71,96,0.65,NZ,1674367143
20,pangody,65.85,74.4859,259.26,95,100,2.21,RU,1674367143
21,lavrentiya,65.5833,-171.0,241.7,94,21,2.74,RU,1674367143
22,rikitea,-23.1203,-134.9692,299.52,75,74,7.63,PF,1674367143
23,tiznit,29.5833,-9.5,282.2,67,0,0.27,MA,1674367143
24,mouzouras,35.5333,24.15,283.15,81,20,0.0,GR,1674367143
25,hanford,36.3275,-119.6457,278.29,90,17,1.36,US,1674366965
26,carnarvon,-24.8667,113.6333,299.86,68,33,6.79,AU,1674367144
27,sergeyevka,53.88,67.4158,262.41,79,70,4.53,KZ,1674367144
28,ornskoldsvik,63.2909,18.7153,264.68,100,100,1.54,SE,1674367144
29,vila velha,-20.3297,-40.2925,297.12,97,100,2.57,BR,1674367144
30,rongcheng,30.634,117.8517,280.55,90,100,1.64,CN,1674367144
31,vaini,-21.2,-175.2,302.24,89,20,4.12,TO,1674367144
32,pindobacu,-10.7417,-40.3608,293.16,83,45,1.27,BR,1674367145
33,kruisfontein,-34.0033,24.7314,294.75,72,82,6.18,ZA,1674367145
34,punta arenas,-53.15,-70.9167,281.21,66,0,3.6,CL,1674367145
35,lagoa,39.05,-27.9833,288.18,79,3,9.4,PT,1674367146
36,busselton,-33.65,115.3333,303.21,44,0,4.35,AU,1674367146
37,luderitz,-26.6481,15.1594,293.1,66,9,8.39,NA,1674367146
38,bonnyville,54.2668,-110.735,272.04,90,99,1.78,CA,1674367146
39,mataura,-46.1927,168.8643,286.51,90,73,3.05,NZ,1674367147
40,bethel,41.3712,-73.414,274.78,77,60,0.75,US,1674367147
41,tiksi,71.6872,128.8694,245.73,85,100,2.11,RU,1674366894
42,verkhoyansk,67.5447,133.385,224.96,100,79,0.37,RU,1674367147
43,cape town,-33.9258,18.4232,295.42,84,75,1.34,ZA,1674366954
44,new norfolk,-42.7826,147.0587,293.66,53,76,0.45,AU,1674367147
45,marzuq,14.4,46.4667,292.36,27,0,0.93,YE,1674367147
46,klyuchi,52.2667,79.1667,252.39,81,74,4.16,RU,1674367148
47,aksay,47.26,39.87,273.29,61,100,8.94,RU,1674367148
48,phalaborwa,-23.943,31.1411,297.75,63,85,3.19,ZA,1674367148
49,anderson,34.5334,-82.6499,279.68,73,100,1.34,US,1674367148
50,thunder bay,48.4001,-89.3168,270.14,74,100,2.57,CA,1674366890
51,khatanga,71.9667,102.5,235.35,82,29,1.2,RU,1674367149
52,dunedin,-45.8742,170.5036,286.37,83,92,3.58,NZ,1674367149
53,taoudenni,22.6783,-3.9836,286.58,14,0,4.22,ML,1674367149
54,provideniya,64.3833,-173.3,246.32,86,23,4.88,RU,1674367149
55,thompson,55.7435,-97.8558,259.24,85,100,2.06,CA,1674367150
56,atherton,53.5237,-2.4935,274.76,89,100,1.79,GB,1674367150
57,lac du bonnet,50.2536,-96.0612,254.47,100,95,1.61,CA,1674367150
58,le port,-20.9373,55.2919,302.15,75,100,2.5,RE,1674367150
59,sant julia de loria,42.4625,1.4825,264.92,82,19,5.59,AD,1674367150
60,nikolskoye,59.7035,30.7861,270.09,96,84,2.45,RU,1674367150
